,SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID,brand,average_speed,avg_daily_charges,fatigue_driving_ratio,late_night_trip_ratio,avg_late_night_trip_mileage,high_temp_driving_ratio,battery_type_lfp,initial_battery_soc,avg_charge_duration,insurance_commercial_third_party,insurance_compulsory_third_party,average_loss,predicted_premium
0,0,19-APR-24,19-APR-25,2024,1201,294637.53,5050.28,5000000000,2019,3,16,客车,3200.0,奔驰,自用货物,0.0,品牌D,96.62,69.11,0.045928,0.04355,3.27,0.031843,0,0.0,0.0,0,1,0.0,3885.42
1,0,18-MAY-23,17-MAY-24,2023,1204,141049.15,2628.29,5000000001,2016,4,0,MPV,2700.0,长安,租赁,0.0,品牌D,43.75,79.57,0.18207,0.117353,8.89,0.145579,0,0.0,0.0,0,1,0.0,2867.19
2,0,07-DEC-23,06-DEC-24,2023,1201,290137.86,8436.74,5000000002,2013,4,0,MPV,2300.0,比亚迪,商用,5589.61,品牌D,58.33,39.43,0.154705,0.208961,8.39,0.076441,0,0.0,0.0,0,1,18576.63,2584.5
3,1,13-DEC-22,13-DEC-23,2022,1205,318378.42,4890.21,5000000003,2015,4,0,轿车,1800.0,本田,商用,0.0,品牌C,78.37,12.22,0.074038,0.225927,1.35,0.139547,0,74.71,6934.0,1,1,0.0,1730.28
4,1,07-JAN-24,06-JAN-25,2024,1203,244730.83,1949.8,5000000004,2016,7,0,SUV,1600.0,吉利,租赁,12062.03,品牌B,89.26,0.0,0.128359,0.103751,1.22,0.090923,1,82.53,4484.41,0,1,2441.27,3731.44
5,0,01-APR-23,31-MAR-24,2023,1203,356923.73,1802.23,5000000005,2017,7,0,轿车,1000.0,长安,商用,0.0,品牌B,78.0,0.0,0.115485,0.125967,2.53,0.182504,1,75.09,3666.53,1,1,0.0,1596.37
6,0,11-FEB-24,10-FEB-25,2024,1205,218883.98,3538.52,5000000006,2023,3,3,客车,5200.0,长安,自用货物,40357.05,品牌A,43.89,0.0,0.129085,0.284442,1.71,0.155469,0,0.0,0.0,0,1,8801.94,6894.21
7,1,29-OCT-22,29-OCT-23,2022,1206,469133.92,5620.06,5000000007,2019,3,15,货车,2400.0,别克,家用,0.0,品牌D,74.49,83.21,0.115338,0.182135,4.41,0.175093,0,85.55,5650.15,1,1,0.0,3153.17
8,0,15-AUG-22,15-AUG-23,2022,1201,393193.2,3009.51,5000000008,2014,4,0,轿车,3200.0,丰田,自用货物,0.0,品牌A,64.99,0.0,0.193508,0.21627,7.27,0.192782,0,0.0,0.0,1,1,0.0,1525.87
9,1,26-DEC-23,25-DEC-24,2023,1203,269625.48,2413.92,5000000009,2022,2,9,客车,3000.0,吉利,商用,0.0,品牌B,63.76,0.0,0.040169,0.223886,1.16,0.128122,0,0.0,0.0,1,1,0.0,7134.77
