SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID,brand,average_speed,avg_daily_charges,fatigue_driving_ratio,late_night_trip_ratio,avg_late_night_trip_mileage,high_temp_driving_ratio,battery_type_lfp,initial_battery_soc,avg_charge_duration,insurance_commercial_third_party,insurance_compulsory_third_party,average_loss
1,17-JUN-22,17-JUN-23,2022,1206,90419.52,2087.78,5000000000,2017,5,0,轿车,2200.0,宝马,家用,12199.34,品牌B,99.48,0.0,0.090542,0.030826,6.17,0.014345,0,0.0,0.0,0,1,12426.17
1,23-MAR-24,23-MAR-25,2024,1202,405270.28,3421.96,5000000001,2019,3,18,客车,5100.0,本田,自用货物,0.0,品牌D,66.42,60.33,0.134304,0.019282,2.86,0.072434,0,0.0,0.0,1,1,0.0
1,20-NOV-23,19-NOV-24,2023,1203,364140.61,5150.06,5000000002,2022,2,14,皮卡,5500.0,比亚迪,家用,0.0,品牌B,67.95,0.0,0.039096,0.293088,0.39,0.121562,0,0.0,0.0,1,1,0.0
1,11-SEP-22,11-SEP-23,2022,1205,283125.79,5003.72,5000000003,2013,3,7,皮卡,5400.0,奔驰,家用,15272.26,品牌E,53.05,0.0,0.199453,0.045531,6.58,0.116668,1,43.01,4597.1,0,1,8714.37
0,24-DEC-23,23-DEC-24,2023,1205,122264.38,2289.17,5000000004,2018,4,0,SUV,3400.0,奔驰,自用货物,48694.64,品牌E,72.29,0.0,0.185614,0.209933,4.23,0.178946,0,0.0,0.0,0,1,2466.83
1,27-DEC-23,26-DEC-24,2023,1204,299944.24,6084.96,5000000005,2017,4,6,客车,5500.0,奥迪,公务,0.0,品牌D,79.93,73.65,0.067488,0.059365,9.36,0.087196,1,77.13,3377.76,1,1,0.0
1,19-SEP-23,18-SEP-24,2023,1206,294715.75,1842.41,5000000006,2013,2,20,皮卡,5300.0,奔驰,家用,0.0,品牌A,55.37,0.0,0.014588,0.085831,3.34,0.089794,0,0.0,0.0,0,1,0.0
1,06-JUN-23,05-JUN-24,2023,1204,244663.67,4255.01,5000000007,2021,4,0,SUV,1300.0,宝马,家用,36942.74,品牌B,74.57,0.0,0.187911,0.111518,5.31,0.080173,0,66.8,2172.11,0,1,16574.32
1,18-MAY-23,17-MAY-24,2023,1204,155292.97,4056.64,5000000008,2014,4,0,SUV,2300.0,比亚迪,租赁,0.0,品牌D,31.83,66.82,0.060917,0.175856,3.64,0.054356,0,40.19,4068.67,1,1,0.0
1,23-MAY-22,23-MAY-23,2022,1202,409802.83,2080.01,5000000009,2015,4,6,客车,5200.0,本田,商用,0.0,品牌B,47.98,0.0,0.069446,0.006781,3.4,0.148469,0,0.0,0.0,0,1,0.0
